time_s,csp_out_V
2.303471227660131438e-04,-7.425124931614845991e-05
2.303983227660028478e-04,-7.417674351017922163e-05
2.304495227659925517e-04,-7.410231773974373937e-05
2.305007227659822556e-04,-7.402797200484201312e-05
2.305519227659719595e-04,-7.395369175355881453e-05
2.306031227659616635e-04,-7.387949153780937195e-05
2.306543227659513674e-04,-7.380536408163607121e-05
2.307055227659410713e-04,-7.373130938503891230e-05
2.307567227659307752e-04,-7.365733472397550941e-05
2.308079227659204792e-04,-7.358343282248824835e-05
2.308591227659101831e-04,-7.350959640461951494e-05
2.309103227658998870e-04,-7.343584729824215174e-05
2.309615227658895909e-04,-7.336216367548331618e-05
2.310127227658792949e-04,-7.328855281230062246e-05
2.310639227658689988e-04,-7.321502198465168476e-05
2.311151227658587027e-04,-7.314155664062127471e-05
2.311663227658484066e-04,-7.306817133212462068e-05
2.312175227658381106e-04,-7.299485878320410848e-05
2.312687227658278145e-04,-7.292161899385973811e-05
2.313199227658175184e-04,-7.284845196409150958e-05
2.313711227658072224e-04,-7.277535769389942288e-05
2.314223227657969263e-04,-7.270234345924109221e-05
2.314735227657866302e-04,-7.262939470820128918e-05
2.315247227657763341e-04,-7.255652599269524217e-05
2.315759227657660381e-04,-7.248372276080772281e-05
2.316271227657557420e-04,-7.241099956445395947e-05
2.316783227657454459e-04,-7.233834185171872377e-05
2.317295227657351498e-04,-7.226576417451724410e-05
2.317807227657248538e-04,-7.219325198093429208e-05
2.318319227657145577e-04,-7.212081982288509607e-05
2.318831227657042616e-04,-7.204845314845442772e-05
2.319343227656939655e-04,-7.197616650955751538e-05
2.319855227656836695e-04,-7.190394535427913070e-05
2.320367227656733734e-04,-7.183180423453450203e-05
2.320879227656630773e-04,-7.175972859840840101e-05
2.321391227656527812e-04,-7.168773299781605601e-05
2.321903227656424852e-04,-7.161580288084223866e-05
2.322415227656321891e-04,-7.154394552344456315e-05
2.322927227656218930e-04,-7.147216092562302947e-05
2.323439227656115969e-04,-7.140044908737763762e-05
2.323951227656013009e-04,-7.132881000870838761e-05
2.324463227655910048e-04,-7.125724368961527944e-05
2.324975227655807087e-04,-7.118575013009831309e-05
2.325487227655704126e-04,-7.111432205419987440e-05
2.325999227655601166e-04,-7.104297401383519173e-05
2.326511227655498205e-04,-7.097169145708903670e-05
2.327023227655395244e-04,-7.090048165991902351e-05
2.327535227655292284e-04,-7.082934462232515216e-05
2.328047227655189323e-04,-7.075827306834980845e-05
2.328559227655086362e-04,-7.068728154990822077e-05
2.329071227654983401e-04,-7.061635551508516073e-05
2.329583227654880441e-04,-7.054550223983824253e-05
2.330095227654777480e-04,-7.047472172416746616e-05
2.330607227654674519e-04,-7.040400669211521745e-05
2.331119227654571558e-04,-7.033337169559672475e-05
2.331631227654468598e-04,-7.026280218269675970e-05
2.332143227654365637e-04,-7.019230542937293649e-05
2.332655227654262676e-04,-7.012187415966764092e-05
2.333167227654159715e-04,-7.005151564953848720e-05
2.333679227654056755e-04,-6.998122989898547530e-05
2.334191227653953794e-04,-6.991101690800860524e-05
2.334703227653850833e-04,-6.984086940065026283e-05
2.335215227653747872e-04,-6.977079465286806226e-05
2.335727227653644912e-04,-6.970079266466200352e-05
2.336239227653541951e-04,-6.963085616007447243e-05
2.336751227653438990e-04,-6.956099241506308317e-05
2.337263227653336029e-04,-6.949119415367022157e-05
2.337775227653233069e-04,-6.942147592781111598e-05
2.338287227653130108e-04,-6.935181590961292386e-05
2.338799227653027147e-04,-6.928223592694848776e-05
2.339311227652924186e-04,-6.921272142790257931e-05
2.339823227652821226e-04,-6.914327241247519851e-05
2.340335227652718265e-04,-6.907390343258157372e-05
2.340847227652615304e-04,-6.900459266034886241e-05
2.341359227652512344e-04,-6.893536192364990711e-05
2.341871227652409383e-04,-6.886619667056947947e-05
2.342383227652306422e-04,-6.879709690110757947e-05
2.342895227652203461e-04,-6.872806989122182131e-05
2.343407227652100501e-04,-6.865910836495459080e-05
2.343919227651997540e-04,-6.859021959826350212e-05
2.344431227651894579e-04,-6.852140359114855528e-05
